Date,School District,New Positive Students 
11/6/2021,Fargo Public School District,0
11/7/2021,Fargo Public School District,0
11/8/2021,Fargo Public School District,22
11/9/2021,Fargo Public School District,7
11/10/2021,Fargo Public School District,10
11/11/2021,Fargo Public School District,5
11/12/2021,Fargo Public School District,12
11/13/2021,Fargo Public School District,6
11/14/2021,Fargo Public School District,4
11/15/2021,Fargo Public School District,20
11/16/2021,Fargo Public School District,11
11/17/2021,Fargo Public School District,11
11/18/2021,Fargo Public School District,16
11/19/2021,Fargo Public School District,14
11/20/2021,Fargo Public School District,2
11/21/2021,Fargo Public School District,1
11/22/2021,Fargo Public School District,13
11/23/2021,Fargo Public School District,9
11/24/2021,Fargo Public School District,12
11/25/2021,Fargo Public School District,4
11/26/2021,Fargo Public School District,5
11/27/2021,Fargo Public School District,1
11/28/2021,Fargo Public School District,2
11/29/2021,Fargo Public School District,18
11/30/2021,Fargo Public School District,9
12/1/2021,Fargo Public School District,12
12/2/2021,Fargo Public School District,9
12/3/2021,Fargo Public School District,11
12/4/2021,Fargo Public School District,4
12/5/2021,Fargo Public School District,3
12/6/2021,Fargo Public School District,7
12/7/2021,Fargo Public School District,8
12/8/2021,Fargo Public School District,3
12/9/2021,Fargo Public School District,5
12/10/2021,Fargo Public School District,4
12/11/2021,Fargo Public School District,0
12/12/2021,Fargo Public School District,0
12/13/2021,Fargo Public School District,11
12/14/2021,Fargo Public School District,13
12/15/2021,Fargo Public School District,21
12/16/2021,Fargo Public School District,4
12/17/2021,Fargo Public School District,4
12/18/2021,Fargo Public School District,1
12/19/2021,Fargo Public School District,0
12/20/2021,Fargo Public School District,12
12/21/2021,Fargo Public School District,5
12/22/2021,Fargo Public School District,9
12/23/2021,Fargo Public School District,7
12/24/2021,Fargo Public School District,1
12/25/2021,Fargo Public School District,0
12/26/2021,Fargo Public School District,1
12/27/2021,Fargo Public School District,10
12/28/2021,Fargo Public School District,12
12/29/2021,Fargo Public School District,5
12/30/2021,Fargo Public School District,12
